,YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,ESPN_ID
2,2013,ARI,29,46,10,12,0,1,0,0,8,14,8,2,.261,.370,.304,.674,0.1,30846
3,2014,LAA,18,15,6,5,0,0,0,2,0,6,0,1,.333,.333,.333,.666,-0.3,30846
4,2014,ARI,26,60,4,9,1,1,0,3,0,10,4,1,.150,.164,.200,.364,-0.2,30846
5,2014,Total,44,75,10,14,1,1,0,5,0,16,4,2,.187,.197,.227,.424,-0.5,30846
0,2011,STL,38,65,8,17,5,0,0,6,6,13,0,1,.262,.333,.338,.671,-0.1,30936
1,2012,STL,51,126,11,32,9,1,1,11,3,19,0,1,.254,.267,.365,.632,-0.3,30936
2,2013,STL,51,123,13,25,6,1,1,13,4,25,0,0,.203,.240,.293,.533,-0.6,30936
3,2014,STL,50,135,11,27,5,0,1,17,13,28,0,3,.200,.270,.259,.529,-1.0,30936
4,2015,STL,69,142,6,29,7,1,2,11,6,32,0,0,.204,.235,.310,.545,-0.8,30936
5,2016,KC,4,4,0,0,0,0,0,1,0,3,0,0,.000,.000,.000,.000,-0.1,30936
6,2018,CIN,9,26,2,4,1,0,1,2,0,11,0,0,.154,.154,.308,.462,-0.2,30936
0,2006,MIL,32,77,5,20,2,1,0,4,2,15,3,1,.260,.275,.312,.587,-0.6,28516
1,2007,MIL,69,123,13,32,3,2,0,10,12,24,8,1,.260,.326,.317,.643,0.0,28516
2,2008,MIL,29,42,5,8,1,0,0,1,4,7,3,1,.190,.271,.214,.485,0.1,28516
3,2009,SD,119,393,59,106,11,6,2,21,48,65,11,7,.270,.350,.344,.694,2.8,28516
4,2010,SD,117,289,30,59,9,3,3,20,41,50,17,4,.204,.304,.287,.591,2.1,28516
5,2011,LAD,136,312,37,80,12,6,2,22,23,61,22,6,.256,.308,.353,.661,2.0,28516
6,2012,LAD,103,259,29,60,8,4,0,17,16,52,13,6,.232,.276,.293,.569,-0.2,28516
7,2014,PHI,80,105,14,16,2,1,0,3,15,23,3,0,.152,.264,.190,.454,-1.0,28516
0,2016,HOU,59,120,15,26,4,3,1,7,14,27,2,1,.217,.296,.325,.621,-0.5,34083
1,2017,HOU,17,37,6,8,1,0,0,4,1,5,1,0,.216,.256,.243,.499,0.0,34083
