,YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,ESPN_ID
5,2003,LA,158,559,50,134,30,2,23,80,37,103,2,2,.240,.290,.424,.714,3.4,3878
6,2004,LA,156,598,104,200,32,0,48,121,53,87,7,2,.334,.388,.629,1.017,9.3,3878
7,2005,SEA,156,603,69,154,36,1,19,87,38,108,3,1,.255,.303,.413,.716,2.8,3878
8,2006,SEA,156,620,88,166,39,4,25,89,47,118,11,5,.268,.328,.465,.793,5.1,3878
9,2007,SEA,149,595,87,164,41,2,26,99,38,104,14,2,.276,.319,.482,.801,3.4,3878
10,2008,SEA,143,556,74,148,29,1,25,77,50,90,8,2,.266,.327,.457,.784,5.3,3878
11,2009,SEA,111,449,54,119,27,0,8,44,19,74,13,2,.265,.304,.379,.683,3.0,3878
12,2010,BOS,154,589,84,189,49,2,28,102,40,82,2,1,.321,.365,.553,.918,7.4,3878
13,2011,TEX,124,487,82,144,33,0,32,105,25,53,1,1,.296,.331,.561,.892,5.6,3878
14,2012,TEX,156,604,95,194,33,2,36,102,36,82,1,0,.321,.359,.561,.920,6.6,3878
15,2013,TEX,161,631,88,199,32,0,30,92,50,78,1,0,.315,.371,.509,.880,5.5,3878
16,2014,TEX,148,549,79,178,33,1,19,77,57,74,1,1,.324,.388,.492,.880,7.0,3878
17,2015,TEX,143,567,83,163,32,4,18,83,41,65,1,0,.287,.334,.453,.787,5.8,3878
18,2016,TEX,153,583,89,175,31,1,32,104,48,66,1,1,.300,.358,.521,.879,6.5,3878
19,2017,TEX,94,340,47,106,22,1,17,71,39,52,1,0,.312,.383,.532,.915,3.7,3878
20,2018,TEX,119,433,49,118,23,1,15,65,34,96,1,0,.273,.328,.434,.762,2.2,3878
0,2004,TEX,16,42,7,10,3,0,1,7,2,6,0,0,.238,.273,.381,.654,-0.2,5405
1,2005,TEX,43,150,17,34,7,1,6,17,10,37,0,0,.227,.272,.407,.679,-0.7,5405
2,2006,SD,156,570,83,173,38,1,24,82,52,113,0,1,.304,.362,.500,.862,2.8,5405
3,2007,SD,161,646,101,182,46,3,30,100,65,140,0,0,.282,.347,.502,.849,2.3,5405
4,2008,SD,162,616,103,172,32,1,36,119,74,142,0,0,.279,.361,.510,.871,3.3,5405
5,2009,SD,160,552,90,153,27,2,40,99,119,109,1,1,.277,.407,.551,.958,6.6,5405
6,2010,SD,160,591,87,176,33,0,31,101,93,114,0,0,.298,.393,.511,.904,4.1,5405
7,2011,BOS,159,630,108,213,45,3,27,117,74,119,1,0,.338,.410,.548,.958,6.7,5405
8,2012,BOS,123,484,63,145,37,0,15,86,31,81,0,0,.300,.343,.469,.812,2.6,5405
9,2012,LAD,36,145,12,43,10,1,3,22,11,29,2,0,.297,.344,.441,.785,0.7,5405
10,2012,Total,159,629,75,188,47,1,18,108,42,110,2,0,.299,.344,.463,.807,3.3,5405
11,2013,LAD,157,583,69,171,32,0,22,100,47,98,1,0,.293,.342,.461,.803,3.9,5405
12,2014,LAD,159,591,83,163,41,0,27,116,56,112,1,1,.276,.335,.482,.817,3.9,5405
13,2015,LAD,156,571,76,157,33,0,28,90,62,107,0,1,.275,.350,.480,.830,3.9,5405
14,2016,LAD,156,568,69,162,31,0,18,90,55,117,0,2,.285,.349,.435,.784,2.1,5405
15,2017,LAD,71,231,14,56,17,0,3,30,16,43,0,1,.242,.287,.355,.642,-1.2,5405
16,2018,NYM,54,169,15,40,5,0,6,26,15,34,0,0,.237,.299,.373,.672,-0.6,5405
0,2014,CHW,48,106,8,25,5,0,2,7,8,38,0,1,.236,.296,.340,.636,-0.1,33007
0,2017,WSH,34,71,6,19,7,0,0,11,1,25,0,2,.268,.288,.366,.654,0.1,32345
1,2018,WSH,28,58,8,16,2,1,0,3,1,8,0,0,.276,.288,.345,.633,0.1,32345
0,2011,STL,18,8,2,3,0,1,0,4,0,1,0,0,.375,.375,.625,1.000,0.0,30811
1,2012,STL,41,54,4,12,0,2,0,4,5,18,2,1,.222,.300,.296,.596,0.3,30811
2,2013,STL,25,26,5,4,1,0,0,1,3,11,0,1,.154,.241,.192,.433,-0.5,30811
0,2016,CHC,47,112,14,31,9,1,3,14,5,20,0,0,.277,.308,.455,.763,0.7,32686
1,2017,CHC,132,299,39,89,18,1,8,46,19,53,1,0,.298,.338,.445,.783,1.0,32686
2,2018,CHC,152,444,62,127,24,1,5,41,24,83,1,3,.286,.323,.378,.701,1.7,32686
0,2001,STL,161,590,112,194,47,4,37,130,69,93,1,3,.329,.403,.610,1.013,6.3,4574
1,2002,STL,157,590,118,185,40,2,34,127,72,69,2,4,.314,.394,.561,.955,5.2,4574
2,2003,STL,157,591,137,212,51,1,43,124,79,65,5,1,.359,.439,.667,1.106,8.4,4574
3,2004,STL,154,592,133,196,51,2,46,123,84,52,5,5,.331,.415,.657,1.072,8.3,4574
4,2005,STL,161,591,129,195,38,2,41,117,97,65,16,2,.330,.430,.609,1.039,8.2,4574
5,2006,STL,143,535,119,177,33,1,49,137,92,50,7,2,.331,.431,.671,1.102,8.2,4574
6,2007,STL,158,565,99,185,38,1,32,103,99,58,2,6,.327,.429,.568,.997,8.5,4574
7,2008,STL,148,524,100,187,44,0,37,116,104,54,7,3,.357,.462,.653,1.115,9.0,4574
8,2009,STL,160,568,124,186,45,1,47,135,115,64,16,4,.327,.443,.658,1.101,9.4,4574
9,2010,STL,159,587,115,183,39,1,42,118,103,76,14,4,.312,.414,.596,1.010,7.3,4574
10,2011,STL,147,579,105,173,29,0,37,99,61,58,9,1,.299,.366,.541,.907,5.1,4574
11,2012,LAA,154,607,85,173,50,0,30,105,52,76,8,1,.285,.343,.516,.859,4.6,4574
12,2013,LAA,99,391,49,101,19,0,17,64,40,55,1,1,.258,.330,.437,.767,1.5,4574
13,2014,LAA,159,633,89,172,37,1,28,105,48,71,5,1,.272,.324,.466,.790,3.9,4574
14,2015,LAA,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,3.1,4574
15,2016,LAA,152,593,71,159,19,0,31,119,49,75,4,0,.268,.323,.457,.780,1.4,4574
16,2017,LAA,149,593,53,143,17,0,23,101,37,93,3,0,.241,.286,.386,.672,-1.8,4574
17,2018,LAA,117,465,50,114,20,0,19,64,28,65,1,0,.245,.289,.411,.700,0.5,4574
0,2006,ARI,23,42,2,10,1,1,0,6,4,6,0,1,.238,.298,.310,.608,-0.1,28541
1,2007,ARI,56,144,10,31,8,0,0,7,9,14,1,1,.215,.265,.271,.536,-1.3,28541
2,2008,KC,74,213,21,65,8,3,0,16,19,14,2,1,.305,.361,.371,.732,1.0,28541
3,2009,KC,155,576,79,173,41,8,11,73,52,51,2,1,.300,.356,.457,.813,2.1,28541
4,2010,LAA,58,213,21,53,8,0,2,13,12,13,2,2,.249,.291,.315,.606,0.4,28541
5,2010,KC,88,349,40,96,19,2,8,43,19,29,3,1,.275,.308,.410,.718,0.8,28541
6,2010,Total,146,562,61,149,27,2,10,56,31,42,5,3,.265,.302,.374,.676,1.2,28541
7,2011,LAA,141,475,54,137,23,0,6,46,58,48,8,1,.288,.366,.375,.741,3.0,28541
8,2012,LAA,138,457,55,115,20,0,10,53,56,59,4,3,.252,.331,.361,.692,3.2,28541
9,2013,LAA,86,294,32,74,13,0,5,36,34,22,0,2,.252,.324,.347,.671,0.2,28541
10,2013,OAK,50,159,20,43,7,0,5,22,19,25,0,0,.270,.350,.409,.759,0.1,28541
11,2013,Total,136,453,52,117,20,0,10,58,53,47,0,2,.258,.333,.369,.702,0.3,28541
12,2014,OAK,127,404,37,90,15,0,4,39,40,50,0,1,.223,.290,.290,.580,-1.0,28541
13,2015,ATL,37,107,12,22,2,0,1,8,14,10,0,0,.206,.293,.252,.545,-0.4,28541
14,2015,LAD,60,123,8,32,5,0,0,7,14,24,0,0,.260,.336,.301,.637,-0.4,28541
15,2015,Total,97,230,20,54,7,0,1,15,28,34,0,0,.235,.315,.278,.593,-0.8,28541
0,2007,NYY,12,14,3,1,0,0,0,1,1,1,0,1,.071,.133,.071,.204,-0.5,28876
1,2008,NYY,28,52,4,9,2,0,0,1,4,8,0,0,.173,.232,.212,.444,-0.3,28876
2,2008,WAS,17,49,9,17,6,0,1,9,4,6,0,1,.347,.407,.531,.938,0.5,28876
3,2008,Total,45,101,13,26,8,0,1,10,8,14,0,1,.257,.318,.366,.684,0.2,28876
4,2009,WAS,105,291,31,77,16,3,1,33,14,27,1,1,.265,.299,.351,.650,-0.4,28876
5,2010,WSH,114,186,19,46,8,1,0,5,7,30,0,0,.247,.277,.301,.578,0.0,28876
6,2011,SD,102,247,18,53,10,2,1,32,13,37,1,2,.215,.256,.283,.539,0.0,28876
7,2012,TEX,24,54,7,13,2,1,0,4,0,9,0,0,.241,.241,.315,.556,0.0,28876
8,2013,NYY,13,34,3,6,1,0,0,4,0,6,0,0,.176,.176,.206,.382,-0.1,28876
9,2013,CHC,11,23,3,5,1,0,1,2,2,6,0,0,.217,.269,.391,.660,0.0,28876
10,2013,Total,24,57,6,11,2,0,1,6,2,12,0,0,.193,.217,.281,.498,-0.1,28876
0,2016,STL,20,38,3,7,2,0,0,2,2,5,0,0,.184,.225,.237,.462,-0.2,30190
1,2017,STL,3,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.1,30190
0,2008,MIL,9,4,2,2,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,0.0,29229
1,2009,MIL,38,125,20,38,3,1,1,11,4,18,4,2,.304,.333,.368,.701,0.3,29229
2,2010,MIL,145,506,57,119,14,10,4,41,36,70,10,4,.235,.288,.326,.614,0.4,29229
3,2011,KC,158,548,69,139,21,8,4,46,25,73,26,9,.254,.290,.343,.633,2.3,29229
4,2012,KC,155,605,68,177,30,7,5,52,27,100,35,5,.293,.331,.390,.721,3.2,29229
5,2013,KC,158,607,57,142,20,4,4,52,19,84,22,0,.234,.259,.300,.559,0.3,29229
6,2014,KC,162,579,74,165,34,5,3,50,23,83,31,6,.285,.317,.377,.694,2.4,29229
7,2015,KC,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.613,0.6,29229
8,2016,KC,162,637,57,166,24,6,7,55,27,96,17,4,.261,.292,.350,.642,0.3,29229
9,2017,KC,162,599,71,150,36,5,6,54,15,102,4,7,.250,.272,.357,.629,0.0,29229
10,2018,KC,140,485,54,112,22,3,4,34,29,74,8,2,.231,.279,.313,.592,-0.7,29229
0,2016,STL,111,404,71,121,28,3,17,65,41,60,4,4,.300,.369,.510,.879,3.5,33390
1,2017,STL,79,286,31,74,17,0,7,20,13,42,4,1,.259,.290,.392,.682,-0.7,33390
2,2018,TOR,130,422,55,111,26,0,18,55,23,62,3,4,.263,.303,.453,.756,1.4,33390
0,2007,FLA,45,144,14,33,8,2,0,8,6,37,2,0,.229,.261,.313,.574,-0.1,28728
1,2009,FLA,22,20,6,5,1,0,0,3,5,5,0,0,.250,.385,.300,.685,0.4,28728
2,2010,CHW,19,30,7,9,3,0,0,2,1,4,2,1,.300,.323,.400,.723,0.1,28728
3,2011,CHW,54,152,29,50,11,3,4,23,17,34,12,5,.329,.400,.520,.920,2.4,28728
4,2012,CHW,131,524,81,147,29,6,9,50,47,109,26,12,.281,.349,.410,.759,2.1,28728
5,2013,CHW,153,607,84,160,27,4,17,62,50,147,20,8,.264,.323,.405,.728,-0.3,28728
6,2014,BAL,20,82,11,24,5,3,3,10,6,19,2,3,.293,.341,.537,.878,0.4,28728
7,2014,CHW,122,395,45,96,19,5,5,31,33,100,15,7,.243,.309,.354,.663,0.4,28728
8,2014,Total,142,477,56,120,24,8,8,41,39,119,17,10,.252,.314,.386,.700,0.8,28728
9,2015,BAL,30,103,16,22,4,1,3,7,7,34,2,2,.214,.277,.359,.636,-0.2,28728
10,2015,BOS,60,161,23,47,9,5,4,25,12,36,3,1,.292,.347,.484,.831,1.3,28728
11,2015,SF,24,61,12,16,4,1,0,3,12,14,2,2,.262,.387,.361,.748,-0.2,28728
12,2015,Total,114,325,51,85,17,7,7,35,31,84,7,5,.262,.333,.422,.755,1.0,28728
13,2016,NYM,130,234,31,48,9,0,6,25,26,67,4,3,.205,.297,.321,.618,-0.4,28728
14,2017,WSH,28,62,8,12,2,3,0,9,3,16,1,0,.194,.224,.323,.547,-0.1,28728
0,2016,PIT,27,31,5,7,1,0,0,1,2,5,2,1,.226,.273,.258,.531,-0.3,32560
1,2017,CHW,69,160,28,37,9,1,4,10,10,43,9,2,.231,.276,.375,.651,-0.3,32560
2,2017,PIT,37,57,8,11,0,2,0,1,2,9,2,1,.193,.220,.263,.483,-0.3,32560
3,2017,Total,106,217,36,48,9,3,4,11,12,52,11,3,.221,.262,.346,.608,-0.6,32560
4,2018,SF,110,294,36,74,17,5,8,39,9,71,7,3,.252,.274,.425,.699,0.5,32560
0,2009,DET,29,61,9,17,4,0,5,14,10,18,0,0,.279,.375,.590,.965,0.5,30115
1,2010,DET,104,294,28,67,12,0,7,31,36,71,2,2,.228,.316,.340,.656,-0.1,30115
2,2011,DET,141,464,63,137,33,4,19,82,73,131,3,1,.295,.389,.506,.895,4.9,30115
3,2012,DET,116,367,42,89,21,2,9,48,61,104,2,0,.243,.352,.384,.736,2.2,30115
4,2013,DET,102,330,39,75,14,1,11,47,44,112,0,0,.227,.317,.376,.693,0.7,30115
5,2014,DET,124,390,44,85,22,0,11,47,61,151,0,3,.218,.327,.359,.686,2.0,30115
6,2015,DET,67,178,21,34,5,0,4,13,40,66,0,1,.191,.339,.287,.626,-0.1,30115
7,2016,CHW,57,169,19,36,6,0,7,11,38,78,0,0,.213,.359,.373,.732,1.0,30115
8,2017,DET,77,219,30,60,11,0,11,32,43,80,0,1,.274,.394,.475,.869,2.0,30115
9,2017,CHC,35,92,11,22,2,1,3,17,19,40,0,0,.239,.369,.380,.749,0.7,30115
10,2017,Total,112,311,41,82,13,1,14,49,62,120,0,1,.264,.387,.447,.834,2.7,30115
11,2018,ARI,80,194,13,32,6,0,7,20,37,90,0,0,.165,.299,.304,.603,-0.1,30115
0,2018,CIN,69,128,14,30,4,0,1,8,13,41,0,0,.234,.324,.289,.613,0.3,33851
0,2016,HOU,49,201,31,53,13,3,8,34,15,52,2,0,.264,.313,.478,.791,1.8,34886
1,2017,HOU,155,556,88,158,39,5,19,71,55,97,17,5,.284,.352,.475,.827,4.1,34886
2,2018,HOU,157,594,105,170,51,1,31,103,96,85,10,4,.286,.394,.532,.926,6.9,34886
0,2012,LAD,16,23,3,4,0,1,1,3,0,8,0,0,.174,.200,.391,.591,-0.3,31372
1,2013,LAD,8,18,2,3,1,0,1,1,0,5,0,0,.167,.167,.389,.556,-0.3,31372
0,2015,SD,11,8,0,2,0,0,0,0,0,3,0,0,.250,.250,.250,.500,-0.1,32956
1,2016,SD,84,253,39,65,16,2,10,37,26,44,5,1,.257,.333,.455,.788,1.1,32956
0,2007,KC,151,543,60,134,36,4,15,60,41,137,14,4,.247,.314,.411,.725,1.6,28636
1,2008,KC,134,493,72,128,35,1,16,59,66,120,9,2,.260,.351,.432,.783,2.5,28636
2,2009,KC,49,164,28,38,6,0,6,22,21,43,5,0,.232,.324,.378,.702,0.2,28636
3,2010,KC,74,242,34,52,10,0,8,20,34,62,1,5,.215,.315,.355,.670,-0.6,28636
4,2011,KC,151,611,101,185,45,4,23,87,67,139,17,8,.303,.376,.502,.878,7.1,28636
5,2012,KC,161,642,93,189,51,5,14,72,73,140,10,5,.294,.368,.455,.823,6.2,28636
6,2013,KC,156,633,90,168,27,6,20,81,52,141,11,3,.265,.327,.422,.749,4.2,28636
7,2014,KC,156,563,87,150,34,1,19,74,65,126,12,3,.266,.351,.432,.783,6.6,28636
8,2015,KC,104,354,40,96,18,0,13,48,49,92,2,5,.271,.377,.432,.809,2.8,28636
9,2016,KC,128,445,62,98,16,2,17,40,52,148,8,1,.220,.312,.380,.692,0.8,28636
10,2017,KC,148,476,52,99,20,2,9,45,45,126,7,4,.208,.293,.315,.608,0.1,28636
11,2018,KC,141,506,56,124,24,0,13,54,50,124,12,2,.245,.324,.370,.694,2.4,28636
0,2014,LAD,11,13,0,1,0,0,0,0,0,6,0,0,.077,.077,.077,.154,-0.3,33096
1,2015,LAD,106,219,25,51,9,1,11,36,7,57,1,0,.233,.261,.434,.695,-0.2,33096
0,2014,BOS,3,8,1,1,0,0,0,0,1,5,0,0,.125,.222,.125,.347,-0.1,30770
0,2011,SEA,15,40,7,9,3,0,3,6,3,17,1,0,.225,.295,.525,.820,0.5,29493
1,2012,SEA,38,116,8,26,4,1,3,10,9,49,2,1,.224,.278,.353,.631,-0.2,29493
2,2013,SEA,8,17,0,1,1,0,0,0,1,7,0,0,.059,.111,.118,.229,-0.4,29493
0,2017,STL,29,46,6,5,0,0,1,3,2,13,0,0,.109,.146,.174,.320,-0.2,36499
0,2010,PIT,19,23,2,6,1,0,0,0,1,8,1,1,.261,.292,.304,.596,-0.2,29683
1,2011,PIT,52,215,27,64,12,6,4,20,13,40,9,3,.298,.339,.465,.804,1.3,29683
2,2012,PIT,104,346,46,82,14,7,10,25,18,72,9,7,.237,.279,.405,.684,-0.1,29683
3,2013,MIN,28,113,9,32,4,1,1,11,8,21,1,3,.283,.336,.363,.699,-0.4,29683
4,2013,PIT,29,72,8,19,1,1,2,4,1,18,0,1,.264,.274,.389,.663,0.4,29683
5,2013,Total,57,185,17,51,5,2,3,15,9,39,1,4,.276,.313,.373,.686,-0.1,29683
6,2014,HOU,89,254,22,62,6,1,6,19,13,44,5,1,.244,.281,.346,.627,0.0,29683
7,2015,HOU,8,12,1,3,0,0,0,1,1,5,0,0,.250,.308,.250,.558,-0.1,29683
8,2016,DET,3,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,-0.1,29683
9,2016,MIL,47,116,12,23,2,0,3,11,11,25,0,2,.198,.271,.293,.564,-0.8,29683
10,2016,Total,50,121,12,24,2,0,3,11,11,25,0,2,.198,.269,.289,.558,-0.9,29683
11,2017,DET,71,245,30,77,10,3,3,20,15,49,5,0,.314,.354,.416,.770,-0.2,29683
0,2004,TOR,111,426,55,122,24,7,1,28,31,84,15,3,.286,.338,.383,.721,1.3,5880
1,2005,TOR,146,481,71,126,23,6,10,59,28,101,14,9,.262,.306,.397,.703,0.9,5880
2,2006,TOR,128,450,68,136,33,6,17,82,35,89,15,6,.302,.349,.516,.865,4.4,5880
3,2007,TOR,161,643,114,191,43,7,24,85,55,103,17,4,.297,.354,.498,.852,5.3,5880
4,2008,TOR,155,635,91,185,47,8,15,79,44,112,32,8,.291,.337,.461,.798,5.7,5880
5,2009,CWS,41,146,11,29,6,0,3,9,6,29,5,2,.199,.229,.301,.530,-0.7,5880
6,2009,TOR,108,436,52,115,25,2,14,62,31,78,19,3,.264,.317,.427,.744,1.3,5880
7,2009,Total,149,582,63,144,31,2,17,71,37,107,24,5,.247,.296,.395,.691,0.6,5880
8,2010,CHW,147,567,89,161,29,3,21,88,38,93,34,14,.284,.334,.457,.791,3.0,5880
9,2011,CHW,145,537,64,122,22,2,13,44,27,68,11,6,.227,.265,.348,.613,-2.1,5880
10,2012,CHW,157,605,93,184,37,8,25,91,26,92,23,6,.304,.334,.516,.850,4.2,5880
11,2013,CHW,109,430,57,119,22,2,12,55,32,78,26,6,.277,.328,.421,.749,1.0,5880
12,2013,TEX,47,186,26,52,11,2,6,26,9,30,16,1,.280,.315,.457,.772,1.0,5880
13,2013,Total,156,616,83,171,33,4,18,81,41,108,42,7,.278,.324,.432,.756,2.0,5880
14,2014,TEX,131,492,54,138,30,8,4,54,23,93,17,9,.280,.311,.398,.709,0.6,5880
15,2015,KC,105,385,40,98,22,2,4,32,15,67,9,0,.255,.287,.353,.640,-1.1,5880
0,2017,LAD,15,23,1,4,0,0,1,1,2,4,0,1,.174,.240,.304,.544,-0.4,33786
1,2018,LAD,37,77,11,20,6,0,1,4,8,14,0,0,.260,.329,.377,.706,0.4,33786
0,2008,CWS,136,480,65,139,22,2,21,77,18,61,13,9,.290,.317,.475,.792,1.3,28952
1,2009,CWS,148,542,71,150,14,1,15,68,49,66,14,5,.277,.333,.389,.722,2.1,28952
2,2010,CHW,156,585,83,165,29,2,18,70,27,82,13,9,.282,.313,.431,.744,5.2,28952
3,2011,CHW,158,614,81,165,31,2,15,70,51,84,7,5,.269,.328,.399,.727,3.3,28952
4,2012,CHW,158,593,59,157,24,4,9,73,16,77,20,7,.265,.287,.364,.651,2.2,28952
5,2013,CHW,158,637,68,181,39,2,6,48,26,68,30,9,.284,.313,.380,.693,2.6,28952
6,2014,CHW,158,622,82,170,35,2,15,74,24,81,21,4,.273,.305,.408,.713,3.0,28952
7,2015,CHW,154,583,54,145,33,0,10,62,31,68,17,7,.249,.285,.357,.642,1.0,28952
8,2016,SD,128,421,33,101,19,2,5,41,17,56,6,9,.240,.275,.330,.605,-2.4,28952
9,2016,TB,17,57,5,14,3,0,1,7,4,7,2,0,.246,.295,.351,.646,0.0,28952
10,2016,Total,145,478,38,115,22,2,6,48,21,63,8,9,.241,.277,.333,.610,-2.3,28952
0,2011,LAA,23,52,2,8,3,1,0,5,2,8,0,0,.154,.182,.250,.432,-0.3,30562
1,2012,LAA,1,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0,30562
2,2012,SD,105,275,35,66,15,5,5,32,17,42,8,4,.240,.282,.385,.667,0.2,30562
3,2012,Total,106,275,36,66,15,5,5,32,17,42,8,4,.240,.282,.385,.667,0.2,30562
4,2013,SD,146,368,35,87,14,4,5,32,22,57,4,2,.236,.282,.337,.619,-0.0,30562
5,2014,SD,148,423,39,101,13,2,5,40,29,69,12,1,.239,.286,.314,.600,2.0,30562
6,2015,SD,118,324,28,66,10,4,3,30,24,55,5,1,.204,.257,.287,.544,-0.5,30562
7,2016,SD,65,140,9,36,2,0,0,11,8,26,9,2,.257,.295,.271,.566,-0.6,30562
8,2017,COL,96,168,22,40,10,0,3,19,7,38,1,0,.238,.269,.351,.620,-1.4,30562
0,2006,MIN,9,4,1,1,0,0,0,0,2,1,0,0,.250,.500,.250,.750,0.1,28575
1,2007,MIN,56,189,15,42,5,1,0,9,9,29,11,1,.222,.256,.259,.515,-1.2,28575
2,2008,MIN,98,385,58,108,15,0,7,50,31,45,7,2,.281,.333,.374,.707,1.2,28575
3,2009,MIN,80,228,25,46,7,3,0,17,22,36,11,0,.202,.280,.259,.539,-1.6,28575
4,2010,MIN,69,152,26,42,7,4,1,20,13,17,6,1,.276,.331,.395,.726,0.9,28575
5,2011,MIN,97,323,52,84,21,4,2,21,28,45,15,4,.260,.322,.368,.690,1.3,28575
6,2012,MIN,106,299,33,72,17,2,1,30,16,52,21,1,.241,.282,.321,.603,2.0,28575
7,2013,BAL,62,112,15,24,4,1,1,10,9,20,9,2,.214,.268,.295,.563,0.5,28575
8,2014,BAL,1,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.2,28575
0,2018,CHW,3,9,0,1,0,0,0,1,0,4,0,0,.111,.111,.111,.222,-0.1,34844
0,2013,ARI,22,43,4,8,3,0,0,4,4,12,0,0,.186,.271,.256,.527,-0.4,32251
1,2014,ARI,44,106,8,18,5,1,2,9,6,34,1,0,.170,.221,.292,.513,-0.7,32251
2,2015,LAA,5,6,0,2,0,0,0,0,1,1,0,0,.333,.500,.333,.833,0.2,32251
0,2012,SD,5,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1,32114
1,2014,TB,8,6,0,0,0,0,0,1,0,4,0,0,.000,.000,.000,.000,-0.1,32114
0,2015,TB,13,31,3,4,0,0,1,4,6,12,0,0,.129,.289,.226,.515,-0.5,32361
0,2017,SD,100,202,17,42,2,2,4,15,18,54,2,2,.208,.282,.297,.579,-0.7,36085
0,2010,STL,44,114,12,28,7,0,4,18,9,26,0,1,.246,.298,.412,.710,0.1,30399
1,2011,STL,75,200,33,63,15,0,11,40,15,40,5,0,.315,.362,.555,.917,2.2,30399
2,2012,STL,119,469,76,144,35,0,22,92,37,89,2,1,.307,.354,.522,.876,2.2,30399
3,2013,STL,134,508,71,160,29,2,13,97,40,100,2,0,.315,.373,.457,.830,2.3,30399
4,2014,BOS,29,94,7,12,3,0,1,2,9,36,1,0,.128,.234,.191,.425,-0.5,30399
5,2014,STL,97,367,34,87,17,1,7,44,26,77,1,1,.237,.291,.346,.637,-0.6,30399
6,2014,Total,126,461,41,99,20,1,8,46,35,113,2,1,.215,.279,.315,.594,-1.2,30399
7,2015,BOS,36,79,6,12,1,0,1,3,7,26,0,0,.152,.239,.203,.442,-0.7,30399
0,2017,NYM,46,165,16,41,4,4,4,10,3,49,7,3,.248,.271,.394,.665,0.2,33215
1,2018,NYM,154,554,76,142,26,8,9,51,29,119,24,11,.256,.295,.381,.676,0.6,33215
0,2006,LA,126,396,50,122,20,7,11,55,34,77,5,5,.308,.365,.477,.842,2.2,6481
1,2007,LA,153,447,50,127,32,2,13,64,46,68,0,4,.284,.350,.452,.802,0.9,6481
2,2008,LA,141,525,90,160,38,5,20,77,59,88,6,3,.305,.375,.510,.885,2.0,6481
3,2009,LA,160,596,92,162,42,3,31,106,72,116,6,4,.272,.361,.508,.869,2.7,6481
4,2010,LAD,139,517,71,151,33,1,23,82,59,102,2,1,.292,.364,.493,.857,1.7,6481
5,2011,LAD,135,487,67,142,30,0,11,62,58,103,0,1,.292,.368,.421,.789,2.1,6481
6,2012,LAD,149,556,79,158,36,1,20,89,50,124,2,2,.284,.351,.460,.811,3.5,6481
7,2013,LAD,142,482,54,131,33,2,12,52,61,95,4,3,.272,.360,.423,.783,2.7,6481
8,2014,LAD,130,341,29,85,17,6,4,42,31,74,2,2,.249,.322,.370,.692,-0.0,6481
9,2015,LAD,142,395,54,116,20,7,14,53,43,75,2,3,.294,.366,.486,.852,2.7,6481
10,2016,LAD,16,24,2,5,1,0,1,2,2,6,0,0,.208,.269,.375,.644,-0.2,6481
11,2017,LAD,22,34,3,8,1,0,2,3,4,10,0,0,.235,.316,.441,.757,-0.1,6481
0,2012,ATL,49,166,17,48,8,2,3,19,12,21,1,0,.289,.335,.416,.751,2.8,31728
1,2013,ATL,157,606,76,150,27,6,17,59,40,55,6,5,.248,.296,.396,.692,6.7,31728
2,2014,ATL,146,540,44,132,18,4,7,46,32,60,4,5,.244,.286,.331,.617,3.5,31728
3,2015,ATL,147,535,60,142,23,2,4,44,39,48,5,3,.265,.321,.338,.659,4.0,31728
4,2016,LAA,124,448,48,126,22,2,4,44,28,38,10,1,.281,.324,.366,.690,4.2,31728
5,2017,LAA,158,589,77,164,38,2,14,69,47,67,19,6,.278,.331,.421,.752,7.1,31728
6,2018,LAA,146,554,68,162,26,5,11,75,35,44,10,2,.292,.337,.417,.754,6.2,31728
0,2004,KC,19,60,9,19,2,2,0,5,5,6,1,2,.317,.379,.417,.796,0.8,5943
1,2005,KC,26,79,6,17,0,1,0,5,0,5,0,1,.215,.220,.241,.461,-0.5,5943
2,2006,KC,33,87,9,21,4,1,0,9,5,14,0,1,.241,.290,.310,.600,0.2,5943
3,2009,CHC,53,123,15,31,8,0,1,12,8,14,0,2,.252,.303,.341,.644,-0.1,5943
4,2010,TEX,68,166,17,46,10,1,0,13,11,24,0,2,.277,.330,.349,.679,0.1,5943
5,2011,TEX,36,76,9,17,3,0,2,3,4,14,0,1,.224,.263,.342,.605,0.3,5943
6,2014,PHI,25,47,4,13,5,0,1,3,2,6,0,0,.277,.306,.447,.753,0.3,5943
7,2015,PHI,106,233,32,68,22,3,7,25,21,44,1,1,.292,.360,.502,.862,1.5,5943
8,2016,PHI,90,190,26,48,15,1,4,21,11,41,2,3,.253,.316,.405,.721,-0.2,5943
